id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,3136902
4,.,435403
5,그,312622
6,이,269036
7,아,239406
8,어,214276
9,는,199299
10,가,198423
11,?,188506
12,고,180547
13,거,174694
14,지,163647
15,데,141305
16,나,134830
17,다,124797
18,하,121665
19,에,110858
20,도,105659
21,서,105606
22,니,101249
23,게,90871
24,야,85825
25,기,82303
26,은,80353
27,면,77526
28,있,72962
29,한,66656
30,까,65042
31,해,64603
32,리,61709
33,을,61596
34,라,60884
35,안,59965
36,근,57671
37,래,57230
38,사,53933
39,일,51953
40,로,49737
41,들,49614
42,뭐,48675
43,같,45598
44,너,45503
45,보,45117
46,내,44180
47,만,42230
48,제,41757
49,자,41577
50,시,40919
51,대,39012
52,진,37734
53,때,36285
54,잖,36168
55,오,36059
56,되,35457
57,으,35035
58,었,34580
59,런,34567
60,러,33470
61,무,33465
62,인,33126
63,구,32892
64,했,32793
65,요,32020
66,수,31895
67,애,30857
68,마,30439
69,짜,30084
70,간,29600
71,없,29545
72,우,29268
73,를,28965
74,생,27974
75,주,27505
76,스,27139
77,학,26707
78,냥,26155
79,음,26154
80,말,26044
81,겠,25837
82,렇,25556
83,막,25508
84,네,25026
85,많,24565
86,먹,24407
87,원,23696
88,더,23280
89,금,22363
90,정,21992
91,여,21991
92,좋,21979
93,할,21911
94,번,21369
95,랑,20940
96,부,20833
97,전,20546
98,건,19991
99,맞,19716
100,알,19241
101,든,17998
102,잘,17946
103,응,17767
104,않,17412
105,모,17120
106,약,17045
107,걸,16695
108,각,16413
109,람,16359
110,치,16312
111,좀,16242
112,던,15916
113,십,15544
114,르,15456
115,려,15318
116,바,15317
117,상,15208
118,냐,15181
119,장,15166
120,비,15058
121,교,14938
122,드,14837
123,날,14657
124,봤,14573
125,것,14493
126,히,14458
127,동,14445
128,난,14428
129,못,14360
130,걔,13784
131,왜,13360
132,았,13297
133,중,13101
134,저,13097
135,화,13020
136,싶,13002
137,의,12794
138,단,12792
139,또,12691
140,갔,12615
141,얘,12344
142,긴,12304
143,집,12284
144,봐,12128
145,엄,12122
146,신,12035
147,연,11924
148,럼,11818
149,돼,11566
150,영,11417
151,미,11402
152,공,11370
153,직,11118
154,년,10924
155,트,10795
156,계,10753
157,적,10650
158,재,10512
159,삼,10355
160,실,10259
161,예,10221
162,와,10053
163,세,10001
164,살,9994
165,개,9900
166,차,9810
167,분,9810
168,국,9802
169,터,9679
170,소,9650
171,물,9609
172,두,9608
173,친,9597
174,테,9560
175,청,9541
176,디,9479
177,갈,9370
178,문,9282
179,운,9166
180,쫌,9152
181,본,9075
182,돈,8889
183,타,8868
184,유,8809
185,언,8797
186,방,8737
187,명,8416
188,월,8353
189,빠,8336
190,배,8275
191,과,8264
192,피,8247
193,달,7981
194,남,7940
195,왔,7871
196,속,7847
197,랬,7807
198,뭔,7803
199,처,7740
200,식,7708
201,버,7640
202,워,7560
203,심,7548
204,따,7404
205,받,7395
206,선,7354
207,점,7336
208,경,7268
209,올,7235
210,행,7161
211,성,7146
212,른,7049
213,업,7020
214,반,6977
215,였,6840
216,회,6785
217,카,6763
218,관,6691
219,느,6689
220,얼,6664
221,조,6508
222,몰,6484
223,당,6430
224,찮,6416
225,누,6395
226,님,6268
227,천,6216
228,입,6192
229,별,6174
230,맛,6133
231,떻,6105
232,울,6070
233,괜,6007
234,딱,5921
235,머,5881
236,크,5875
237,강,5801
238,매,5733
239,몇,5710
240,파,5701
241,노,5700
242,작,5686
243,열,5679
244,쪽,5669
245,산,5617
246,즘,5582
247,백,5486
248,쓰,5467
249,늘,5444
250,편,5342
251,줄,5342
252,싸,5339
253,형,5329
254,술,5307
255,프,5305
256,케,5287
257,밌,5283
258,된,5281
259,준,5241
260,임,5236
261,힘,5194
262,위,5094
263,끝,5066
264,볼,5019
265,슨,5004
266,새,4996
267,키,4968
268,맨,4926
269,양,4868
270,됐,4856
271,체,4758
272,용,4749
273,온,4718
274,억,4698
275,육,4673
276,등,4650
277,혼,4621
278,팔,4585
279,통,4582
280,름,4491
281,놀,4482
282,될,4447
283,호,4372
284,군,4346
285,길,4323
286,닌,4313
287,외,4265
288,레,4210
289,밥,4201
290,발,4188
291,싫,4136
292,초,4114
293,밖,4107
294,포,4045
295,져,4038
296,불,4016
297,토,3991
298,결,3961
299,색,3955
300,감,3901
301,겨,3854
302,완,3831
303,역,3773
304,목,3754
305,티,3738
306,칠,3728
307,질,3621
308,추,3600
309,린,3583
310,났,3579
311,솔,3569
312,험,3564
313,박,3463
314,갑,3448
315,민,3436
316,후,3433
317,격,3429
318,떤,3428
319,빨,3417
320,루,3399
321,럴,3343
322,찍,3342
323,필,3317
324,확,3301
325,돌,3241
